"unid","gender","working","volunteer","leadershiprole","peoplelive","peoplelive_15plus","numchildren","numearnincome","anygrant","anyhhincome","financial_situation_now","financial_situation_5years","givemoney_yes","cft_score","com_score","grit_score","num_score","opt_score","age_squared","survey_year","survey_month"
41964,"0","1",NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,4,4,4,NA,NA,625,2018,6
15241,"0","1","0","0",2,NA,3,1,"1","1",2,8,"0",4,5,3,NA,7,676,2016,3
33702,"1","1","1","0",4,NA,1,1,"0","1",1,1,"0",5,5,2,NA,3,576,2016,4
101252,"0","1","1","1",7,5,0,NA,"1","1",1,7,"0",10,NA,0,NA,4,361,2018,4
83023,"1","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,4,NA,NA,400,2016,7
80756,"0","0","0","0",1,1,1,NA,"0","0",3,10,"0",4,NA,0,NA,6,441,2017,3
85374,"0","0",NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,2,NA,NA,484,2018,8
68158,"1","0","0","1",3,NA,0,1,"0","1",1,7,"1",7,8,4,6,4,441,2016,2
59944,"1","0",NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,4,NA,NA,576,2018,10
68536,"1","0",NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,6,6,2,3,NA,576,2018,11
17380,"1","0",NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,1,NA,NA,784,2018,3
33247,"1","1","0","0",2,NA,1,1,"0","1",1,8,"0",7,NA,6,NA,4,625,2016,10
49786,"0","0","0","0",4,3,0,NA,"0","1",1,10,"0",NA,NA,3,NA,8,625,2018,2
16962,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,784,2018,3
98435,"1","0","1","1",4,0,0,NA,"1","1",2,6,"0",NA,NA,5,NA,2,361,2017,11
31785,"0","1","0","0",7,NA,0,1,"1","1",4,6,"0",3,NA,5,NA,0,576,2016,4
50166,"1","1","1","1",3,3,0,NA,"0","1",2,10,"1",9,NA,8,NA,7,576,2017,6
85832,"0","0",NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,7,NA,8,NA,NA,484,2018,7
98602,"0","1",NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,9,NA,NA,400,2018,6
33026,"0","0","1","0",4,NA,1,2,"1","1",2,5,"1",6,5,3,2,5,625,2016,7
49231,"0","0","1","0",5,NA,0,1,"0","1",2,8,"0",2,NA,9,NA,6,576,2017,4
68280,"1","1","0","0",1,15,0,NA,"0","1",2,6,"0",NA,NA,5,NA,5,529,2017,12
902,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1156,2018,3
46301,"0","0","1","1",3,2,1,NA,"1","1",1,10,"0",NA,NA,0,NA,10,576,2017,8
98865,"0","1","1","1",2,0,0,NA,"1","1",10,9,"1",NA,NA,3,NA,-1,361,2018,3
37000,"0","0","1","0",8,NA,2,0,"1","0",3,9,"1",7,6,2,2,6,625,2017,2
51323,"1","0","1","1",15,15,0,NA,"1","1",2,7,"1",NA,NA,1,NA,7,576,2018,2
99562,"0","0","0","1",13,10,0,NA,"1","1",1,10,"0",7,NA,4,NA,10,361,2017,6
70127,"1","1","1","1",4,NA,0,2,"0","1",4,8,"0",9,9,4,6,0,441,2016,7
30928,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,5,NA,NA,676,2018,1
35670,"1","0","1","1",2,NA,0,1,"1","1",4,8,"0",7,6,7,3,2,576,2016,6
58890,"1","0","1","1",3,3,0,NA,"0","1",2,8,"1",NA,NA,1,NA,8,576,2018,1
20374,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,9,9,4,NA,729,2017,9
59011,"1","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,576,2018,2
8626,"1","1","1","0",1,NA,2,0,"0","0",1,10,"1",5,6,9,3,13,784,2016,7
33528,"0","0","1","1",3,15,0,NA,"0","1",3,7,"1",5,NA,5,NA,3,625,2017,2
67287,"1","1","0","0",4,NA,0,NA,"0","0",5,9,"1",6,5,4,NA,4,484,2017,3
13383,"1","0","1","1",5,NA,2,1,"1","1",2,6,"1",6,5,3,NA,0,784,2017,3
21344,"0","0","0","0",7,NA,1,1,"1","1",4,9,"0",4,4,7,NA,7,625,2016,2
8518,"0","0","0","0",1,NA,1,1,"0","1",1,6,"0",6,5,6,NA,8,784,2016,6
2533,"1","0",NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,6,NA,NA,1089,2018,5
6604,"1","0","0","1",1,1,1,NA,"0","1",1,10,"1",6,NA,6,NA,9,841,2017,1
73520,"0","0","1","0",3,1,0,NA,"1","1",2,10,"0",8,NA,5,NA,7,484,2017,6
83831,"0","0","0","0",6,NA,0,1,"1","1",2,8,"0",6,6,1,3,5,400,2016,9
60030,"0","0","1","0",5,NA,0,1,"1","1",1,5,"1",4,NA,8,NA,6,529,2017,2
84113,"0","1","1","0",5,NA,0,3,"1","1",4,9,"0",7,6,0,2,7,400,2016,10
98518,"0","0","1","1",10,1,0,NA,"1","1",1,8,"1",NA,NA,1,NA,8,361,2017,10
86406,"0","0","1","0",3,1,0,NA,"1","1",3,9,"0",7,NA,7,NA,7,400,2017,1
41557,"1","1","0","0",1,1,0,NA,"0","1",2,4,"1",7,3,0,5,2,576,2017,5
93261,"0","0","0","0",4,NA,0,2,"0","1",1,10,"1",1,NA,0,NA,6,361,2016,7
30658,"0","0","1","1",4,1,0,NA,"1","1",2,10,"1",NA,NA,8,NA,5,676,2017,10
64464,"1","0","0","1",4,NA,0,0,"1","0",2,5,"0",6,4,3,4,2,441,2016,3
31548,"0","0","0","0",7,NA,2,1,"1","1",4,7,"1",4,5,5,NA,4,625,2016,10
37802,"1","0",NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,7,7,8,4,NA,676,2018,9
80518,"0","0",NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,1,NA,NA,484,2018,5
55723,"1","0","1","1",2,NA,0,1,"0","1",3,10,"0",7,NA,2,NA,5,529,2016,7
64761,"0","0","1","1",2,2,0,NA,"0","0",1,6,"1",NA,NA,0,NA,6,529,2017,7
101917,"0","0","0","0",7,4,0,NA,"1","1",1,6,"0",6,7,7,3,5,289,2017,6
37741,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,625,2017,10
14736,"0","0","0","0",8,NA,1,1,"0","1",1,10,"0",3,NA,1,NA,11,729,2016,4
70302,"0","1","0","1",7,NA,1,1,"1","1",2,10,"1",4,6,3,NA,7,441,2016,3
21318,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,8,NA,NA,676,2016,5
27983,"0","0","0","0",5,NA,1,NA,"1","0",2,9,"0",5,5,5,NA,7,625,2016,8
49750,"0","0","0","0",5,NA,0,1,"0","1",1,5,"1",5,5,1,NA,1,529,2016,10
102295,"0","0","0","0",8,5,0,NA,"0","1",4,8,"0",2,NA,2,NA,4,289,2017,6
85395,"1","0","1","1",4,NA,0,1,"1","1",2,10,"1",9,NA,3,NA,7,400,2016,11
22599,"1","0",NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,6,7,6,2,NA,625,2016,3
4987,"0","1","0","0",0,NA,1,NA,"0","0",1,10,NA,NA,NA,8,NA,13,961,2018,3
66992,"0","0","0","1",2,15,1,NA,"0","1",1,6,"0",NA,NA,3,NA,6,529,2017,7
41448,"0","1",NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,3,5,6,NA,NA,529,2016,5
48666,"0","1","0","0",2,2,1,NA,"1","1",4,7,"0",NA,NA,2,NA,5,576,2017,8
57884,"0","0","0","0",3,NA,1,0,"0","0",3,6,"1",4,5,9,NA,5,529,2016,10
41891,"0","0","1","0",4,4,0,NA,"0","1",1,6,"0",NA,NA,9,NA,3,625,2018,1
100163,"0","0","1","0",3,2,0,NA,"1","1",6,9,"0",NA,NA,6,NA,2,361,2017,8
47993,"0","0",NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,5,NA,NA,625,2018,5
92024,"0","0","0","0",3,7,0,NA,"1","1",5,10,"0",5,5,4,4,2,400,2017,3
83911,"1","1","0","0",3,3,0,NA,"0","1",2,6,"0",NA,NA,7,NA,8,484,2018,3
61091,"0","0",NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,9,NA,NA,576,2018,8
